Purchase Type Group,Purchased By,Sales Total Inc VAT,Sales Total EX VAT,VAT on VATQ Sale,Sale Type Group,Stock Number,Registration,Supplier Name,Customer PostCode,Sale Date,Purchase Price,Make,Model,Description,BodyStyle,Days In Stock,Sales Executive,Customer Name,Chassis Number,Date of Registration,Colour,Purchase Date,Mileage,Road Fund Licence Cost,CherishedFee,ReconCosts
Margin Scheme Vehicles,PUR00015,5000.0,5000.0,0.0,Trade Sale Vehicles,S00054,REG00327,SUP00615,POST00331,01/05/2025 00:00,5000.0,Jaguar,XF,XF 2.2 d Portfolio 4dr Automatic Diesel ,Saloon,85,EXEC00020,Customer00905,CHS00097,31/03/2015 00:00,White,05/02/2025 00:00,68000.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00007,48100.0,48100.0,0.0,Margin Scheme Vehicles,S00056,REG00254,SUP00175,POST00546,01/05/2025 00:00,47658.0,Alfa Romeo,Giulia,Giulia 2.9 V6 Bi-Turbo Quadrifoglio 4dr Automatic Petrol ,Saloon,84,EXEC00007,Customer00322,CHS01132,09/09/2022 00:00,Etna Red,06/02/2025 00:00,28161.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00015,57950.0,57950.0,0.0,Margin Scheme Vehicles,S00085,REG01138,SUP00063,POST00874,01/05/2025 00:00,58500.0,Volvo,XC90,XC90 2.0 h T8 Ultimate Bright 5dr Automatic Petrol Plug-in Hybrid ,SUV,65,EXEC00007,Customer00908,CHS01116,13/09/2024 00:00,Onyx Black,25/02/2025 00:00,4054.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00007,44950.0,44950.0,0.0,Margin Scheme Vehicles,S00097,REG01188,SUP00855,POST00208,01/05/2025 00:00,43250.0,Volkswagen,Golf,Golf 2.0 TSI R Black Edition 5dr Automatic Petrol ,Hatchback,58,EXEC00005,Customer00632,CHS01094,13/11/2024 00:00,White,04/03/2025 00:00,2631.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00015,57950.0,57950.0,0.0,Margin Scheme Vehicles,S00099,REG00485,SUP00646,POST00309,01/05/2025 00:00,55750.0,Land Rover,Defender 110,Defender 110 3.0 D250 MHEV X-Dynamic SE 5dr Automatic Diesel ,SUV,57,EXEC00003,Customer00822,CHS00160,27/05/2023 00:00,Silver,05/03/2025 00:00,17592.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00017,51450.0,52070.0,0.0,Margin Scheme Vehicles,S00121,REG00766,SUP00216,POST00458,01/05/2025 00:00,48000.0,Audi,RS3,RS3 2.5 TFSI Carbon Black 5dr Automatic Petrol ,Hatchback,48,EXEC00026,Customer00595,CHS01058,27/04/2023 00:00,Grey,14/03/2025 00:00,3332.0,620.0,0,0.0
Margin Scheme Vehicles,PUR00010,35450.0,35450.0,0.0,Margin Scheme Vehicles,S00154,REG00913,SUP00833,POST00354,01/05/2025 00:00,32000.0,BMW,8 Series Gran Coupe,8 Series Gran Coupe 3.0 840i M Sport 4dr Automatic Petrol ,Saloon,36,EXEC00001,Customer00273,CHS00646,18/09/2021 00:00,Dravit Grey,26/03/2025 00:00,32497.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00011,36855.0,36855.0,0.0,Margin Scheme Vehicles,S00165,REG00996,SUP00871,POST00477,01/05/2025 00:00,34250.0,Volvo,XC90,XC90 2.0 h T8 Twin Engine R-Design Pro 5dr Automatic Petrol Plug-in Hybrid ,SUV,34,EXEC00027,Customer00102,CHS01113,21/10/2021 00:00,Savile Grey,28/03/2025 00:00,50912.0,0.0,0,0.0
Margin Scheme Vehicles,,36950.0,36950.0,0.0,Margin Scheme Vehicles,S00174,REG01130,SUP00595,POST00301,01/05/2025 00:00,31250.0,BMW,4 Series,4 Series 3.0 M440i MHT 2dr Automatic Petrol Hybrid ,Convertible,31,EXEC00027,Customer00554,CHS00604,21/10/2021 00:00,Dravit Grey,31/03/2025 00:00,18039.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00007,192605.0,192685.0,0.0,Margin Scheme Vehicles,S00191,REG00415,SUP00268,POST00327,01/05/2025 00:00,180000.0,Lamborghini,Huracan,Huracan 5.2 V10 LP 640-4 Performante 2dr Automatic Petrol ,Coupe,29,EXEC00009,Customer00528,CHS01182,11/02/2019 00:00,Black,02/04/2025 00:00,9342.0,0.0,80,0.0
Margin Scheme Vehicles,,50855.0,50855.0,0.0,Margin Scheme Vehicles,S00231,REG00975,SUP00090,POST00257,01/05/2025 00:00,45000.0,Audi,SQ7,SQ7 4.0 TFSI V8 Black Edition 5dr Automatic Petrol ,SUV,23,EXEC00009,Customer00795,CHS00511,26/05/2022 00:00,Black,08/04/2025 00:00,46759.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00010,48700.0,48700.0,0.0,Margin Scheme Vehicles,S00238,REG00318,SUP00829,POST00291,01/05/2025 00:00,41000.0,Porsche,911,911 3.4 991 Carrera 4 2dr Automatic Petrol ,Coupe,21,EXEC00013,Customer00442,CHS00884,15/07/2013 00:00,White,10/04/2025 00:00,39711.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00015,80035.0,80035.0,0.0,Margin Scheme Vehicles,S00246,REG00694,SUP00239,POST00827,01/05/2025 00:00,74000.0,Land Rover,Defender 110,Defender 110 5.0 P525 V8 5dr Automatic Petrol ,SUV,21,EXEC00007,Customer00228,CHS00152,13/06/2022 00:00,Black,10/04/2025 00:00,22614.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00015,116990.0,116990.0,0.0,Margin Scheme Vehicles,S00326,REG00767,SUP00811,POST00351,01/05/2025 00:00,108807.86,BMW,M5,M5 4.4 PHEV 4dr Automatic Petrol Plug-in Hybrid ,Saloon,7,EXEC00020,Customer00173,CHS00709,07/04/2025 00:00,BMW Individual Frozen Deep Grey,24/04/2025 00:00,809.0,0.0,0,0.0
Margin Scheme Vehicles,,22495.0,22495.0,0.0,Margin Scheme Vehicles,S00023,REG00185,SUP00783,POST00398,02/05/2025 00:00,21919.81,Jaguar,F-PACE,F-PACE 2.0 D180 Chequered Flag 5dr Automatic Diesel ,SUV,156,EXEC00001,Customer00780,CHS00094,28/11/2019 00:00,Grey,27/11/2024 00:00,41241.0,0.0,0,0.0
Margin Scheme Vehicles,PUR00010,72450.0,72450.0,0.0,Margin Scheme Vehicles,S00082,REG00420,SUP00833,POST00480,02/05/2025 00:00,69000.0,Lotus,Exige,Exige 3.5 Cup 2dr Manual Petrol ,Coupe,67,EXEC00005,Customer00260,CHS00324,01/03/2018 00:00,Black,24/02/2025 00:00,32788.0,0.0,0,0.0
